H0	H1	H2	C0	C1	C2	
ENSG00000102606	1139	1558	1404	1131	1832	735
ENSG00000102678	2	0	0	0	2	0
ENSG00000102683	4	106	4	19	108	27
ENSG00000102699	1128	1315	1394	359	1131	1208
ENSG00000102710	3173	1574	2331	2364	1897	653
ENSG00000102738	731	404	165	1231	659	141
ENSG00000102743	265	149	367	224	98	42
ENSG00000102753	2459	1183	3098	2409	1915	1858
ENSG00000102755	2902	363	6878	1811	387	209
ENSG00000102760	1	199	39	24	1885	68
ENSG00000102763	1068	330	1140	558	502	409
ENSG00000102780	340	146	357	208	220	437
ENSG00000102781	308	241	782	315	422	413
ENSG00000102786	617	812	851	728	1066	505
ENSG00000102794	0	0	0	0	1	0
ENSG00000102796	96	185	11	28	31	7
ENSG00000102802	109	27	38	5	26	44
ENSG00000102804	1945	7909	1744	2156	4351	989
ENSG00000102805	144	316	326	79	304	146
ENSG00000102837	0	2	0	0	0	0
ENSG00000102858	1248	1615	1364	891	1876	677
ENSG00000102870	609	878	713	690	1248	314
ENSG00000102871	11	327	84	11	660	204
ENSG00000102878	3	28	1	9	47	17
ENSG00000102879	129	9	283	210	15	9
ENSG00000102882	636	1058	488	918	1299	215
ENSG00000102886	13	20	1	3	40	0
ENSG00000102890	341	599	27	296	525	129
ENSG00000102891	0	0	0	0	0	0
ENSG00000102893	2022	2467	2247	1457	2233	1005
ENSG00000102897	510	433	870	407	401	195
ENSG00000102898	2282	1929	2722	1760	3328	1202
ENSG00000102900	2209	1524	1571	2064	3144	930
ENSG00000102901	878	1207	951	619	1067	386
ENSG00000102904	26	36	1	15	39	5
ENSG00000102908	230	760	524	136	578	1141
ENSG00000102910	1316	1599	2250	1125	2091	1105
ENSG00000102921	1551	1281	778	1272	1531	653
ENSG00000102924	340	49	13	146	3	7
ENSG00000102931	45	71	374	33	116	98
ENSG00000102934	25	49	73	31	62	29
ENSG00000102935	1165	768	647	1067	343	48
ENSG00000102962	0	0	0	0	0	0
ENSG00000102967	445	189	204	305	200	86
ENSG00000102970	0	3	1	6	0	1
ENSG00000102974	2246	1869	1935	1891	2282	755
ENSG00000102977	645	587	331	436	572	142
ENSG00000102978	3099	3004	3711	2073	3244	1060
ENSG00000102981	279	30	16	201	41	12
ENSG00000102984	157	135	148	210	269	56
ENSG00000102996	2318	2272	912	1317	2990	829
ENSG00000103005	672	479	547	439	544	459
ENSG00000103018	4023	1819	4048	3911	2297	1823
ENSG00000103021	106	46	10	74	34	2
ENSG00000103023	1	0	0	0	0	0
ENSG00000103024	1870	826	470	1567	840	315
ENSG00000103035	3058	1344	2125	2880	2096	776
ENSG00000103037	993	612	277	542	377	119
ENSG00000103042	689	1186	914	554	1989	710
ENSG00000103043	1613	1258	1027	1378	1688	585
ENSG00000103044	4232	320	164	4207	90	24
ENSG00000103047	609	199	823	567	277	421
ENSG00000103051	1850	2270	1233	1078	2415	544
ENSG00000103056	20	57	64	25	50	7
ENSG00000103061	284	279	325	225	242	115
ENSG00000103064	489	689	1287	1303	576	1027
ENSG00000103066	253	365	558	197	773	594
ENSG00000103067	1446	1960	585	1196	3900	756
ENSG00000103089	26	4	2	28	15	1
ENSG00000103091	1350	1181	252	777	803	181
ENSG00000103111	720	847	683	592	1199	423
ENSG00000103121	522	234	489	382	362	138
ENSG00000103126	1827	1365	789	1440	1305	507
ENSG00000103148	327	601	139	165	392	167
ENSG00000103150	100	72	9	59	97	39
ENSG00000103152	796	1349	678	520	913	411
ENSG00000103154	36	23	5	27	101	7
ENSG00000103160	945	355	431	646	719	183
ENSG00000103168	1438	1201	400	749	3122	497
ENSG00000103174	218	201	229	104	356	192
ENSG00000103175	3	0	0	1	5	0
ENSG00000103184	18	1	1	92	2	0
ENSG00000103187	1972	2137	8050	1370	7821	10248
ENSG00000103194	494	242	286	370	280	140
ENSG00000103196	122	169	483	80	179	78
ENSG00000103197	1082	1651	1449	975	1956	848
ENSG00000103199	258	400	188	290	582	108
ENSG00000103202	9093	4036	4028	9759	4140	2088
ENSG00000103222	1315	756	742	756	342	318
ENSG00000103227	120	313	311	105	443	117
ENSG00000103241	3	67	201	0	4	10
ENSG00000103245	566	617	500	376	684	234
ENSG00000103248	65	134	50	136	258	67
ENSG00000103249	792	1121	408	339	1213	547
ENSG00000103253	488	137	254	446	153	83
ENSG00000103254	333	281	273	229	273	126
ENSG00000103257	1164	3719	3128	826	2351	1734
ENSG00000103260	490	221	327	635	190	111
ENSG00000103264	554	474	632	393	1235	330
ENSG00000103266	367	437	442	179	403	214
ENSG00000103269	35	43	3	27	177	58
ENSG00000103274	268	236	354	347	558	131
ENSG00000103275	3006	2503	2050	2315	3068	1133
ENSG00000103310	3	0	0	0	0	0
ENSG00000103316	310	142	8	72	0	0
ENSG00000103319	702	386	776	869	748	445
ENSG00000103326	1117	541	900	583	552	330
ENSG00000103335	1387	3279	4637	1364	6588	6994
ENSG00000103342	4379	1669	4288	4655	3982	2919
ENSG00000103343	267	130	213	197	197	127
ENSG00000103351	269	277	565	350	462	153
ENSG00000103353	3992	3367	3787	2873	5299	2418
ENSG00000103356	2472	1022	1590	1374	1075	248
ENSG00000103365	1628	1075	589	1429	958	206
ENSG00000103375	0	0	0	0	2	0
ENSG00000103381	358	448	1517	370	1263	1568
ENSG00000103404	554	248	290	406	307	169
ENSG00000103415	1908	1242	3569	1218	1455	1978
ENSG00000103423	1598	805	784	1591	1226	635
ENSG00000103429	1795	1271	1382	1339	1285	583
ENSG00000103449	1895	240	362	363	74	172
ENSG00000103460	426	48	15	312	85	15
ENSG00000103479	724	925	1292	571	1205	375
ENSG00000103489	274	171	1223	129	102	738
ENSG00000103490	408	87	35	737	269	39
ENSG00000103494	680	337	481	890	823	299
ENSG00000103495	1682	2326	1886	1306	1735	703
ENSG00000103496	510	514	463	341	893	499
ENSG00000103502	2421	2555	2357	2396	3836	1507
ENSG00000103507	986	1340	964	1083	1650	645
ENSG00000103510	845	612	509	790	855	206
ENSG00000103522	10	0	65	79	1	2
ENSG00000103528	64	44	99	158	238	243
ENSG00000103534	42	73	4	26	5	2
ENSG00000103540	770	431	921	735	449	181
ENSG00000103544	1028	1160	1022	805	1833	603
ENSG00000103546	2	101	71	6	142	19
ENSG00000103549	1125	1437	1223	1188	1862	1004
ENSG00000103550	804	211	121	564	297	103
ENSG00000103569	0	0	0	0	1	0
ENSG00000103591	2296	1388	2089	2978	1395	633
ENSG00000103599	16	21	1	54	7	4
ENSG00000103642	425	463	727	679	714	214
ENSG00000103647	190	20	666	99	63	475
ENSG00000103653	1081	1220	1197	881	1639	724
ENSG00000103657	1257	3420	2150	830	4270	1096
ENSG00000103671	461	826	933	506	1524	463
ENSG00000103707	382	172	146	424	310	147
ENSG00000103710	224	75	16	178	473	3
ENSG00000103723	173	62	18	186	468	154
ENSG00000103740	81	2	1	78	15	12
ENSG00000103742	565	216	907	737	472	317
ENSG00000103769	4699	5011	3523	4264	4916	2227
ENSG00000103811	443	154	297	364	847	134
ENSG00000103832	0	0	0	0	0	0
ENSG00000103852	687	497	341	384	654	167
ENSG00000103855	3212	2802	2828	2438	6468	2026
ENSG00000103876	464	252	659	721	442	264
ENSG00000103888	32	246	267	34	2883	22
ENSG00000103932	1607	917	720	1996	1521	565
ENSG00000103942	534	176	59	509	898	145
ENSG00000103966	350	200	487	189	247	184
ENSG00000103978	1956	1175	1733	1711	2327	1048
ENSG00000103994	2396	1700	2069	1838	1762	1101
ENSG00000103995	945	478	320	606	381	176
ENSG00000104043	3	83	3	3	16	1
ENSG00000104044	8	19	27	11	3	17
ENSG00000104047	229	261	75	186	128	25
ENSG00000104055	0	0	0	0	0	0
ENSG00000104059	262	57	124	282	189	241
ENSG00000104064	1931	1071	1715	1531	1287	551
ENSG00000104067	3014	5089	3403	2102	5342	2316
ENSG00000104081	703	2574	462	538	2104	222
ENSG00000104093	499	647	889	418	289	197
ENSG00000104112	2790	1445	91	924	415	49
ENSG00000104129	429	282	419	400	375	89
ENSG00000104131	2645	1718	3007	2013	1669	764
ENSG00000104133	1299	1924	1406	871	1825	656
ENSG00000104140	83	52	7	47	155	23
ENSG00000104142	1257	1698	1098	811	2356	1390
ENSG00000104147	730	292	331	541	222	25
ENSG00000104154	1	52	113	1	149	202
ENSG00000104164	61	57	67	28	44	59
ENSG00000104177	2924	594	1114	2469	1152	514
ENSG00000104205	345	413	319	231	514	179
ENSG00000104213	63	69	101	72	722	147
ENSG00000104218	514	593	685	686	1405	207
ENSG00000104219	1822	1235	2232	1849	1612	1276
ENSG00000104221	201	247	274	163	280	158
ENSG00000104228	759	628	1289	613	779	826
ENSG00000104231	1624	866	946	1009	541	213
ENSG00000104237	1	1	1	0	31	4
ENSG00000104267	440	1119	230	205	300	1324
ENSG00000104290	656	267	296	500	275	72
ENSG00000104299	340	232	256	372	819	154
ENSG00000104312	617	320	388	504	713	835
ENSG00000104313	62	1208	107	21	2187	56
ENSG00000104320	2217	1317	1316	2371	1589	922
ENSG00000104321	29	59	181	20	4	0
ENSG00000104324	41	240	273	60	660	164
ENSG00000104325	955	496	779	1087	1730	756
ENSG00000104327	1078	59	74	654	252	33
ENSG00000104331	1640	2016	4102	1679	2575	1393
ENSG00000104332	4289	6614	14883	18069	4380	2520
ENSG00000104341	18964	5860	5727	3605	1473	451
ENSG00000104343	193	107	47	136	104	91
ENSG00000104356	926	380	950	571	497	385
ENSG00000104361	46	118	43	35	209	169
ENSG00000104365	755	728	1215	697	1157	428
ENSG00000104368	83	72	581	369	711	223
ENSG00000104369	928	393	456	633	174	23
ENSG00000104371	0	3	0	0	0	0
ENSG00000104375	565	834	828	420	710	251
ENSG00000104381	1469	262	235	541	252	82
ENSG00000104388	3224	4185	4893	3335	6280	3209
ENSG00000104408	12309	9087	5130	16353	7632	2196
ENSG00000104412	1836	1220	1068	2805	1784	332
ENSG00000104413	3730	2976	1387	3813	4156	537
ENSG00000104415	1	178	1337	2	198	9
ENSG00000104419	93	5373	2635	86	3609	3057
ENSG00000104427	483	1036	613	445	854	227
ENSG00000104432	7	24	2	10	20	3
ENSG00000104435	190	1822	538	22	2104	350
ENSG00000104442	2477	1330	1562	1934	1382	582
ENSG00000104447	259	146	253	110	448	168
ENSG00000104450	71	279	811	50	706	556
ENSG00000104472	641	399	577	786	675	212
ENSG00000104490	36	497	349	21	306	204
ENSG00000104497	549	558	891	339	386	94
ENSG00000104499	0	0	0	0	0	0
ENSG00000104517	5642	3850	2719	6606	4222	1940
ENSG00000104518	67	111	31	426	693	103
ENSG00000104522	2940	2424	2127	2116	4201	1266
ENSG00000104524	397	270	479	316	387	223
ENSG00000104529	1944	1606	1556	1567	1677	684
ENSG00000104537	0	0	1	0	0	0
ENSG00000104549	6617	1398	2173	9046	1176	938
ENSG00000104611	68	702	760	61	465	368
ENSG00000104613	1363	1191	1266	1431	1428	796
ENSG00000104626	898	1023	1464	1551	1398	760
ENSG00000104635	10119	1617	2702	3377	2030	1362
ENSG00000104643	723	246	286	248	317	160
ENSG00000104660	1999	1170	2172	1402	1514	635
ENSG00000104679	653	950	1003	546	1256	360
ENSG00000104687	2215	744	1173	2035	1568	1104
ENSG00000104689	253	38	517	109	49	234
ENSG00000104691	389	245	379	547	327	312
ENSG00000104695	944	1202	1220	900	1186	848
ENSG00000104714	410	447	140	186	165	41
ENSG00000104722	182	7	89	78	9	25
ENSG00000104723	2849	3823	2991	1883	11454	2289
ENSG00000104728	725	428	525	550	443	376
ENSG00000104738	14661	8514	6214	13566	5865	1587
ENSG00000104755	0	0	0	0	0	0
ENSG00000104756	297	288	629	69	108	77
ENSG00000104760	5	0	0	0	0	1
ENSG00000104763	1317	1186	2907	478	2498	959
ENSG00000104765	578	722	874	1067	846	379
ENSG00000104774	780	1572	918	543	1407	429
ENSG00000104783	24	22	59	24	23	24
ENSG00000104804	9	6	0	17	2	0
ENSG00000104805	2315	3044	2662	1533	5435	1878
ENSG00000104808	35	7	9	164	73	6
ENSG00000104812	1337	1430	1796	1264	2914	1950
ENSG00000104814	89	22	9	242	43	8
ENSG00000104824	4579	3040	2553	5144	5013	1221
ENSG00000104825	880	418	637	662	432	239
ENSG00000104826	3	4	0	2	0	0
ENSG00000104833	41	1	2	67	0	0
ENSG00000104835	593	628	523	509	390	114
ENSG00000104848	0	0	0	9	3	1
ENSG00000104852	7083	6552	4229	4948	7437	2121
ENSG00000104853	1443	1694	1279	1325	2482	2037
ENSG00000104856	157	166	105	179	162	97
ENSG00000104859	1120	1115	955	986	1255	358
ENSG00000104863	37	110	83	35	148	28
ENSG00000104866	1196	972	1258	838	1154	616
ENSG00000104870	312	428	259	332	1102	206
ENSG00000104872	3006	1753	963	2184	1356	180
ENSG00000104879	1	0	0	0	2	3
ENSG00000104880	1102	1278	1319	828	1376	828
ENSG00000104881	205	1113	580	177	1701	532
ENSG00000104883	47	81	9	106	129	8
ENSG00000104884	2003	992	648	1955	1312	616
ENSG00000104885	1631	1323	1018	1434	1405	497
ENSG00000104886	3747	3763	2706	2202	3059	768
ENSG00000104888	39	13	3	51	9	10
ENSG00000104889	1580	1415	636	868	907	102
ENSG00000104892	48	147	3	49	84	7
ENSG00000104897	1206	1288	687	818	1302	377
ENSG00000104899	77	89	9	4	11	6
ENSG00000104901	27	36	146	61	56	6
ENSG00000104903	39	6	1	21	3	4
ENSG00000104904	12428	10594	10387	10585	11765	5686
ENSG00000104907	1847	666	834	1228	843	367
ENSG00000104915	766	377	459	1042	530	226
ENSG00000104918	0	0	0	0	0	0
ENSG00000104921	0	0	0	1	0	0
ENSG00000104936	226	578	839	241	1087	285
ENSG00000104938	0	0	0	0	0	0
ENSG00000104941	0	0	3	2	0	1
ENSG00000104946	547	964	580	457	1119	254
ENSG00000104951	3	2	2	8	5	3
ENSG00000104953	84	9	2	17	0	0
ENSG00000104957	350	531	219	253	402	83
ENSG00000104960	668	911	460	720	1656	412
ENSG00000104964	3738	2761	3958	2859	3144	2753
ENSG00000104967	97	8	52	521	7	11
ENSG00000104969	2948	1986	2611	1527	2062	961
ENSG00000104972	0	0	0	0	0	0
ENSG00000104973	893	1309	1368	1142	2192	831
ENSG00000104976	325	254	192	419	346	161
ENSG00000104979	2066	1715	1201	1334	1863	899
ENSG00000104980	2807	1069	1235	1992	1334	574
ENSG00000104983	256	153	15	198	149	24
ENSG00000104998	336	34	36	260	58	54
ENSG00000105011	754	533	450	1059	759	43
ENSG00000105048	1830	643	347	2176	1127	103
ENSG00000105053	434	578	479	484	915	316
ENSG00000105058	3819	3342	3156	3380	4591	2244
ENSG00000105063	2717	2128	2725	1896	2693	1804
ENSG00000105072	122	186	139	122	187	62
ENSG00000105085	197	148	157	174	223	115
ENSG00000105088	1865	530	253	2556	869	161
ENSG00000105122	2	0	0	10	3	1
ENSG00000105127	1040	964	655	1093	1828	969
ENSG00000105131	492	174	21	505	163	10
ENSG00000105135	1620	1786	987	1067	1787	579
ENSG00000105137	210	373	1516	256	468	629
ENSG00000105141	0	1	0	0	0	0
ENSG00000105143	755	442	1354	863	1083	557
ENSG00000105146	41	12	3	17	2	1
ENSG00000105171	989	722	1026	615	984	488
ENSG00000105173	1267	415	245	1106	429	169
ENSG00000105176	1359	703	579	1364	1133	498
ENSG00000105185	1394	822	2151	830	850	452
ENSG00000105186	1791	1131	1265	1308	1127	291
ENSG00000105193	15523	10545	7185	16908	18321	4405
ENSG00000105197	3504	1402	1497	2782	1586	774
ENSG00000105198	0	0	0	0	4	0
ENSG00000105202	1857	1110	722	2038	1129	174
ENSG00000105204	123	379	280	141	527	294
ENSG00000105219	2	1	33	27	5	18
ENSG00000105220	3714	1458	1969	4115	1616	1677
ENSG00000105221	2771	2482	2173	1891	3218	1293
ENSG00000105223	3653	9348	6389	2550	12408	1625
ENSG00000105227	142	128	76	178	121	27
ENSG00000105229	852	1043	659	628	905	291
ENSG00000105245	336	342	1220	276	581	478
ENSG00000105246	2	4	15	47	373	355
ENSG00000105248	413	284	111	293	300	114
ENSG00000105251	43	318	12	131	94	4
ENSG00000105254	2427	1775	2085	1617	2244	1500
ENSG00000105255	604	269	359	740	314	47
ENSG00000105258	313	211	190	267	267	115
ENSG00000105261	0	0	1	2	3	0
ENSG00000105270	104	240	294	204	642	171
ENSG00000105278	36	17	4	78	42	18
ENSG00000105281	5901	1798	5216	3357	2192	1347
ENSG00000105287	854	893	477	748	1726	612
ENSG00000105289	362	962	61	186	832	52
ENSG00000105290	67	18	258	120	44	37
ENSG00000105298	835	665	486	837	1194	426
ENSG00000105323	6175	6215	6046	5700	6692	2751
ENSG00000105325	938	1337	1955	933	1862	1193
ENSG00000105329	98	347	1050	247	1405	1047
ENSG00000105339	124	102	559	101	329	432
ENSG00000105341	376	308	597	329	343	126
ENSG00000105352	0	0	0	0	0	0
ENSG00000105355	1486	2566	3196	1532	2883	2244
ENSG00000105357	682	478	112	605	1559	325
ENSG00000105364	1514	787	1150	1181	1066	553
ENSG00000105366	0	0	0	0	0	0
ENSG00000105369	2	3	0	6	3	5
ENSG00000105370	0	0	0	0	0	0
ENSG00000105372	22225	18922	13671	1379	940	570
ENSG00000105373	10	5	0	1	5	0
ENSG00000105374	2	0	0	4	2	1
ENSG00000105376	26	3	1	27	4	6
ENSG00000105379	282	368	237	217	449	82
ENSG00000105383	0	0	1	3	1	0
ENSG00000105388	0	0	0	0	0	0
ENSG00000105393	2289	2337	1687	1542	2276	713
ENSG00000105397	565	822	1158	297	1600	359
ENSG00000105398	0	0	0	0	0	0
ENSG00000105401	4992	3318	5289	4227	5160	2765
ENSG00000105402	646	1179	1173	677	1503	555
ENSG00000105404	2267	2567	3739	1471	3924	1539
ENSG00000105409	582	98	178	406	2	12
ENSG00000105419	143	199	115	47	177	117
ENSG00000105426	58	31	7	65	34	38
ENSG00000105427	0	0	0	1	0	0
ENSG00000105428	0	0	0	0	0	0
ENSG00000105429	2848	3425	2788	1329	2896	1160
ENSG00000105438	3234	4754	4605	2798	11264	4056
ENSG00000105443	1393	2534	2054	1262	2893	888
ENSG00000105447	2074	1067	1338	1505	988	534
ENSG00000105464	185	15	91	77	14	34
ENSG00000105467	1	2	1	0	2	1
ENSG00000105472	107	102	64	109	141	71
ENSG00000105479	40	17	1	78	34	3
ENSG00000105483	291	297	247	174	202	56
ENSG00000105486	2921	1691	1696	2719	2908	436
ENSG00000105492	2	34	149	0	9	21
ENSG00000105497	300	570	739	264	507	756
ENSG00000105499	6	1	8	123	19	13
ENSG00000105501	0	1	0	0	0	0
ENSG00000105507	0	0	0	0	0	0
ENSG00000105509	29	10	1	38	15	4
ENSG00000105514	152	160	45	220	385	109
ENSG00000105518	822	507	294	1149	1086	261
ENSG00000105519	30	206	14	21	141	20
ENSG00000105520	142	54	395	106	131	119
ENSG00000105523	42	12	34	7	11	3
ENSG00000105538	67	24	15	111	24	9
ENSG00000105549	0	0	0	0	0	0
ENSG00000105550	2	0	0	0	0	0
ENSG00000105552	314	490	294	334	497	59
ENSG00000105556	478	502	616	381	822	370
ENSG00000105559	243	277	278	265	317	15
ENSG00000105568	7083	5455	5732	4604	5974	3727
ENSG00000105576	3175	1752	2813	2762	2572	1936
ENSG00000105583	889	1071	1042	951	2098	858
ENSG00000105605	1667	24	46	879	3	3
ENSG00000105607	1380	829	266	1741	1815	160
ENSG00000105609	0	0	0	0	0	0
ENSG00000105610	15	15	2	10	6	0
ENSG00000105612	355	432	301	267	864	235
ENSG00000105613	224	43	53	424	61	140
ENSG00000105639	27	5	88	46	28	4
ENSG00000105640	1526	1454	601	6557	6426	2328
ENSG00000105641	23	2	0	19	0	1
ENSG00000105642	358	17	6	61	2	0
ENSG00000105643	125	107	193	116	81	72
ENSG00000105647	1033	1698	594	839	1996	1143
ENSG00000105649	119	13	46	185	34	47
ENSG00000105650	46	18	36	100	28	5
ENSG00000105656	465	750	258	303	557	303
ENSG00000105662	146	261	58	136	241	119
ENSG00000105664	5	3	1	6	14	0
ENSG00000105668	11	2	2	64	13	0
ENSG00000105669	2382	3533	3112	2103	5081	1442
ENSG00000105671	1123	1257	1221	1142	1831	926
ENSG00000105672	2	20	5	26	26	4
ENSG00000105675	13	5	3	25	2	1
ENSG00000105676	3671	1381	1936	2111	1470	968
ENSG00000105677	3094	1534	1716	2918	2196	841
ENSG00000105679	0	0	0	1	0	0
ENSG00000105694	1	0	0	0	0	0
ENSG00000105695	1	2	0	1	0	0
ENSG00000105696	216	11	16	219	15	22
ENSG00000105697	1	2	0	8	10	4
ENSG00000105698	2020	2461	1407	1548	1948	922
ENSG00000105699	3225	3090	1125	2456	5655	1060
ENSG00000105700	1978	1798	1100	1705	1865	749
ENSG00000105701	9238	8295	4629	8170	8806	2709
ENSG00000105705	523	639	615	498	976	266
ENSG00000105707	268	117	39	618	852	7
ENSG00000105708	239	177	92	184	165	58
ENSG00000105711	113	14	7	125	102	80
ENSG00000105717	8	6	2	18	2	1
ENSG00000105722	1776	1803	2276	1384	1348	747
ENSG00000105723	1828	1675	2019	1899	2514	1080
ENSG00000105726	1464	1556	990	1321	1979	961
ENSG00000105732	554	499	386	464	476	261
ENSG00000105737	1116	85	71	888	73	11
ENSG00000105738	741	644	691	328	417	335
ENSG00000105750	759	546	297	1147	749	220
ENSG00000105755	220	244	718	147	590	790
ENSG00000105767	434	451	755	709	1502	451
ENSG00000105771	413	516	981	606	1334	405
ENSG00000105778	71	62	84	39	31	22
ENSG00000105784	4	11	0	7	0	3
ENSG00000105810	1448	4411	4110	498	6360	2664
ENSG00000105819	2467	2465	2171	2284	2627	634
ENSG00000105821	2375	1222	1859	2548	1128	492
ENSG00000105825	248	163	2073	598	1652	3982
ENSG00000105829	1254	956	763	1442	1481	474
ENSG00000105849	2576	675	1469	2209	717	418
ENSG00000105851	0	0	1	0	0	8
ENSG00000105852	0	0	0	0	0	0
ENSG00000105854	869	1394	3027	1145	4457	2218
ENSG00000105856	1341	1793	506	1678	1963	522
ENSG00000105865	321	129	177	360	232	143
ENSG00000105866	938	351	38	531	172	44
ENSG00000105875	291	406	298	257	695	100
ENSG00000105877	305	196	11	85	13	4
ENSG00000105879	672	637	793	610	868	422
ENSG00000105880	1	420	23	3	500	30
ENSG00000105887	4115	4451	6853	3864	6668	4631
ENSG00000105894	1842	5823	1621	874	13216	195
ENSG00000105926	1110	494	472	778	641	208
ENSG00000105928	153	1513	1084	47	1067	67
ENSG00000105939	1033	596	971	874	677	398
ENSG00000105948	378	128	121	425	228	53
ENSG00000105953	543	306	117	335	448	326
ENSG00000105954	0	0	0	0	0	0
ENSG00000105967	0	0	0	0	0	0
ENSG00000105971	94	241	3955	98	1071	5228
ENSG00000105974	88	84	1527	130	182	1212
ENSG00000105976	755	2630	1497	701	5336	1294
ENSG00000105982	14	19	0	11	23	6
ENSG00000105983	2036	1140	1302	1432	1560	437
ENSG00000105989	0	69	55	3	35	0
ENSG00000105993	3218	1480	1713	1427	1558	1296
ENSG00000106012	4	5	0	7	15	9
ENSG00000106013	0	1	0	13	3	1
ENSG00000106018	57	165	58	23	19	0
ENSG00000106025	953	1666	515	996	1863	257
ENSG00000106052	3982	3771	6110	3608	4699	2434
ENSG00000106066	1120	3479	1360	565	4564	465
ENSG00000106069	101	1920	401	31	2749	66
ENSG00000106070	3018	1180	1913	1377	1516	1479
ENSG00000106078	302	842	656	431	755	326
ENSG00000106080	310	165	709	196	601	395
ENSG00000106086	2243	1913	1418	2150	3474	758
ENSG00000106100	145	411	640	300	2334	409
ENSG00000106105	4040	1977	4525	2295	3423	3178
ENSG00000106113	14	7	2	10	1	2
ENSG00000106123	445	1751	198	300	6096	788
ENSG00000106125	78	146	308	76	226	98
ENSG00000106144	50	81	3	0	0	0
ENSG00000106211	429	481	1827	779	3108	3277
ENSG00000106236	1134	29	180	604	22	13
ENSG00000106244	1953	1290	1578	1201	1387	535
ENSG00000106245	1210	664	1077	1177	1061	770
ENSG00000106246	452	397	83	320	405	269
ENSG00000106258	6	5	2	14	12	11
ENSG00000106261	1228	2070	1352	1249	2345	882
ENSG00000106266	737	839	916	572	1187	281
ENSG00000106268	1192	447	523	1008	635	126
ENSG00000106278	12708	217	381	10784	52	40
ENSG00000106290	1163	749	692	1200	898	298
ENSG00000106299	1719	3728	1621	1337	2858	1167
ENSG00000106302	0	6	0	0	0	0
ENSG00000106304	3	19	1	3	6	0
ENSG00000106328	2	0	0	1	0	0
ENSG00000106331	0	0	0	1	0	0
ENSG00000106341	48	5	3	119	0	0
ENSG00000106344	1246	886	819	876	755	327
ENSG00000106348	455	202	178	266	68	145
ENSG00000106366	96	120	19726	107	866	41156
ENSG00000106367	1881	3871	1910	822	2070	2567
ENSG00000106384	0	0	0	0	0	0
ENSG00000106392	3991	4169	919	3075	1554	826
ENSG00000106399	1918	842	382	1746	773	61
ENSG00000106410	0	0	0	0	0	0
ENSG00000106415	649	958	905	436	712	283
ENSG00000106443	2753	1719	2003	3721	2717	709
ENSG00000106459	740	602	196	673	642	181
ENSG00000106460	453	571	343	583	577	290
ENSG00000106477	262	299	725	343	453	211
ENSG00000106483	1	3	1	3	0	1
ENSG00000106484	466	2242	3536	88	1832	1021
ENSG00000106511	5	0	0	3	3	0
ENSG00000106536	107	42	146	24	12	0
ENSG00000106537	1960	2464	2323	1554	6629	3199
ENSG00000106541	0	2	39	1	45	17
ENSG00000106546	229	599	1347	126	923	388
ENSG00000106554	1407	677	703	521	435	225
ENSG00000106571	469	1030	829	526	1112	147
ENSG00000106588	4148	1681	1219	3619	1655	628
ENSG00000106591	2052	741	1224	1518	685	306
ENSG00000106603	4471	1540	2120	3586	1423	616
ENSG00000106605	1063	275	258	816	166	250
ENSG00000106608	548	359	730	521	1068	495
ENSG00000106617	409	236	703	0	0	0
ENSG00000106631	10	81	1971	9	2174	426
ENSG00000106633	108	9	96	145	5	1
ENSG00000106635	861	836	508	576	826	404
ENSG00000106636	3667	3434	5826	2830	5423	3124
ENSG00000106638	513	908	1193	986	2053	861
ENSG00000106686	33	91	6	131	105	35
ENSG00000106688	273	204	121	1077	630	33
ENSG00000106689	2	4	1	14	2	1
ENSG00000106692	215	99	233	135	130	84
ENSG00000106701	362	103	199	415	142	128
ENSG00000106723	5840	5235	4034	4232	4410	1697
ENSG00000106733	197	341	155	251	391	119
ENSG00000106771	1154	1185	1414	714	974	640
ENSG00000106772	325	21	243	426	514	157
ENSG00000106780	4	22	1	11	22	30
ENSG00000106785	267	26	162	629	45	35
ENSG00000106789	1464	2098	1157	3541	2459	883
ENSG00000106799	2274	3466	4739	2520	5226	2022
ENSG00000106803	993	762	718	613	1059	347
ENSG00000106804	13	1236	1018	88	3929	127
ENSG00000106809	4	0	69	1	1	0
ENSG00000106819	1	0	0	0	1	0
ENSG00000106823	2	5	72	4	9	7
ENSG00000106829	883	3540	923	606	3716	417
ENSG00000106852	25	3	0	54	15	18
ENSG00000106853	385	285	546	645	790	592
ENSG00000106868	116	240	1022	60	796	327
ENSG00000106927	33	1	2	25	4	0
ENSG00000106948	542	743	167	555	761	194
ENSG00000106952	0	70	0	0	20	9
ENSG00000106991	54	23	90	79	58	147
ENSG00000106992	294	161	311	387	330	327
ENSG00000106993	1457	694	574	1512	626	271
ENSG00000107014	57	38	9	204	430	53
ENSG00000107018	11	11	3	28	45	5
ENSG00000107020	673	311	122	885	648	430
ENSG00000107021	991	1229	1109	959	1579	881
ENSG00000107036	1106	1307	2282	1663	5292	3112
ENSG00000107077	771	591	644	1130	609	316
ENSG00000107099	59	252	213	15	138	163
ENSG00000107104	29	26	211	1	0	3
ENSG00000107105	1582	440	1611	964	135	78
ENSG00000107130	2253	1012	3757	1292	1316	2126
ENSG00000107140	282	438	668	237	837	476
ENSG00000107147	2	10	2	9	3	4
ENSG00000107159	16	3	1	68	19	8
ENSG00000107164	142	108	63	105	83	38
ENSG00000107165	3	43	402	40	87	8
